# tau [ps];  C6H11N2 [ps*S/m];  C6H11N2-var [ps^2*S^2/m^2];  C2N3 [ps*S/m];  C2N3-var [ps^2*S^2/m^2];  C6H11N2/C6H11N2 [ps*S/m];  C6H11N2/C6H11N2-var [ps^2*S^2/m^2];  C2N3/C2N3 [ps*S/m];  C2N3/C2N3-var [ps^2*S^2/m^2];  C6H11N2/C2N3 [ps*S/m];  C6H11N2/C2N3-var [ps^2*S^2/m^2];  total [ps*S/m];  total-var [ps^2*S^2/m^2]
72.600000;  332.398311;  0.018269;  386.936161;  0.025212;  -276.744148;  0.115938;  -229.249091;  0.812958;  187.359993;  1.124016;  400.701225;  5.141148
73.200000;  334.501040;  0.018457;  389.383397;  0.025510;  -278.470505;  0.117179;  -230.629936;  0.820757;  188.627054;  1.134750;  403.411050;  5.190246
73.800000;  336.598027;  0.018647;  391.834447;  0.025796;  -280.160470;  0.118980;  -231.927754;  0.834166;  189.997296;  1.153547;  406.341547;  5.276221
74.400000;  338.693011;  0.018823;  394.273187;  0.026060;  -281.853263;  0.120470;  -233.226953;  0.843909;  191.351272;  1.167380;  409.237253;  5.339493
75.000000;  340.791709;  0.019000;  396.722459;  0.026317;  -283.541892;  0.121944;  -234.514359;  0.854082;  192.731773;  1.181386;  412.189690;  5.403552
75.600000;  342.895206;  0.019167;  399.180704;  0.026609;  -285.250177;  0.123823;  -235.852835;  0.866973;  194.062255;  1.198995;  415.035153;  5.484095
76.200000;  344.992139;  0.019355;  401.631694;  0.026887;  -286.954425;  0.125083;  -237.191217;  0.874980;  195.384230;  1.209352;  417.862421;  5.531467
76.800000;  347.086907;  0.019527;  404.078668;  0.027146;  -288.656463;  0.126865;  -238.525452;  0.886590;  196.706359;  1.225408;  420.690020;  5.604907
77.400000;  349.183929;  0.019685;  406.509063;  0.027421;  -290.358446;  0.128482;  -239.836570;  0.897238;  198.036257;  1.239005;  423.534232;  5.667099
78.000000;  351.270892;  0.019846;  408.932385;  0.027684;  -292.086489;  0.129850;  -241.242950;  0.906019;  199.244564;  1.250456;  426.118401;  5.719474
78.600000;  353.360673;  0.020029;  411.368883;  0.027937;  -293.771378;  0.131424;  -242.532251;  0.917178;  200.607636;  1.264890;  429.033563;  5.785495
79.200000;  355.444118;  0.020236;  413.796448;  0.028222;  -295.423509;  0.133208;  -243.737760;  0.929296;  202.059653;  1.281173;  432.138950;  5.859969
79.800000;  357.531232;  0.020442;  416.215070;  0.028532;  -297.116835;  0.134958;  -245.040643;  0.942006;  203.385347;  1.297941;  434.974172;  5.936665
80.400000;  359.609258;  0.020629;  418.632458;  0.028829;  -298.773273;  0.137373;  -246.263531;  0.958980;  204.804624;  1.321668;  438.009537;  6.045192
81.000000;  361.690491;  0.020775;  421.053268;  0.029071;  -300.479587;  0.138863;  -247.622070;  0.969398;  206.066789;  1.336009;  440.708890;  6.110786
81.600000;  363.778062;  0.020883;  423.483917;  0.029306;  -302.147774;  0.140849;  -248.864463;  0.984084;  207.478646;  1.356153;  443.728387;  6.202922
82.200000;  365.857500;  0.021008;  425.908810;  0.029515;  -303.846796;  0.142536;  -250.211506;  0.995182;  208.759321;  1.370975;  446.467330;  6.270716
82.800000;  367.939914;  0.021099;  428.336511;  0.029746;  -305.523881;  0.144392;  -251.490773;  1.008409;  210.123863;  1.388941;  449.385634;  6.352889
83.400000;  370.021047;  0.021203;  430.756064;  0.029978;  -307.204322;  0.145784;  -252.775032;  1.018807;  211.472793;  1.403909;  452.270549;  6.421356
84.000000;  372.093657;  0.021313;  433.168913;  0.030234;  -308.870023;  0.147369;  -254.034969;  1.030860;  212.842655;  1.421356;  455.200233;  6.501155
84.600000;  374.160580;  0.021441;  435.578473;  0.030490;  -310.518140;  0.149296;  -255.257910;  1.045652;  214.252567;  1.442113;  458.215570;  6.596097
85.200000;  376.228643;  0.021608;  437.985777;  0.030743;  -312.173210;  0.151006;  -256.495064;  1.058545;  215.642911;  1.460126;  461.189056;  6.678486
85.800000;  378.298974;  0.021801;  440.397866;  0.031012;  -313.820765;  0.152662;  -257.709286;  1.071367;  217.066188;  1.477854;  464.232976;  6.759572
86.400000;  380.360133;  0.021992;  442.803178;  0.031306;  -315.464064;  0.154465;  -258.930660;  1.084672;  218.472914;  1.496001;  467.241501;  6.842575
87.000000;  382.416747;  0.022173;  445.207561;  0.031610;  -317.140604;  0.155892;  -260.258166;  1.094467;  219.752435;  1.510236;  469.977974;  6.907682
87.600000;  384.470903;  0.022345;  447.617530;  0.031929;  -318.746942;  0.158198;  -261.399315;  1.112616;  221.260015;  1.534935;  473.202190;  7.020653
88.200000;  386.527455;  0.022504;  450.021781;  0.032266;  -320.411445;  0.159918;  -262.692758;  1.125646;  222.579851;  1.553223;  476.024885;  7.104301
88.800000;  388.594173;  0.022670;  452.446839;  0.032609;  -322.070067;  0.161842;  -263.961539;  1.139044;  223.953712;  1.572126;  478.963118;  7.190761
89.400000;  390.667930;  0.022803;  454.874766;  0.032933;  -323.760066;  0.163776;  -265.302153;  1.152533;  225.245631;  1.591421;  481.726109;  7.279015
90.000000;  392.738315;  0.022951;  457.294656;  0.033233;  -325.413075;  0.166021;  -266.539474;  1.169304;  226.650731;  1.615044;  484.731153;  7.387064
90.600000;  394.822402;  0.023124;  459.707432;  0.033596;  -327.109962;  0.167415;  -267.855181;  1.179467;  227.954242;  1.629226;  487.518933;  7.451933
91.200000;  396.887683;  0.023307;  462.121862;  0.033946;  -328.752532;  0.169508;  -269.071931;  1.193879;  229.377297;  1.649170;  490.562379;  7.543155
91.800000;  398.952377;  0.023436;  464.531134;  0.034265;  -330.380987;  0.171712;  -270.245186;  1.208660;  230.845903;  1.670029;  493.703242;  7.638562
92.400000;  401.017903;  0.023617;  466.934419;  0.034591;  -332.050733;  0.173149;  -271.527097;  1.218644;  232.178292;  1.683139;  496.552784;  7.698525
93.000000;  403.083296;  0.023817;  469.343751;  0.034955;  -333.712306;  0.175207;  -272.792268;  1.234601;  233.537757;  1.704819;  499.460231;  7.797688
93.600000;  405.151521;  0.024017;  471.749687;  0.035331;  -335.362631;  0.176936;  -274.014151;  1.246910;  234.944620;  1.721156;  502.469047;  7.872412
94.200000;  407.217401;  0.024232;  474.157303;  0.035725;  -337.030999;  0.178748;  -275.295483;  1.259874;  236.282844;  1.739009;  505.331066;  7.954072
94.800000;  409.286475;  0.024417;  476.569293;  0.036066;  -338.682704;  0.180795;  -276.524925;  1.275358;  237.687919;  1.760086;  508.336058;  8.050474
95.400000;  411.354383;  0.024553;  478.985212;  0.036395;  -340.350021;  0.183159;  -277.805833;  1.293815;  239.036513;  1.785440;  511.220255;  8.166444
96.000000;  413.418984;  0.024680;  481.394023;  0.036697;  -342.017398;  0.184881;  -279.089175;  1.307114;  240.373767;  1.804334;  514.080202;  8.252862
96.600000;  415.477877;  0.024819;  483.799573;  0.037007;  -343.666442;  0.187167;  -280.333482;  1.323845;  241.753528;  1.827733;  517.031054;  8.359887
97.200000;  417.543955;  0.024985;  486.210388;  0.037307;  -345.347016;  0.188822;  -281.652035;  1.336767;  243.051328;  1.845327;  519.806620;  8.440359
97.800000;  419.604445;  0.025172;  488.620460;  0.037605;  -347.007790;  0.190783;  -282.929577;  1.352714;  244.396972;  1.867556;  522.684510;  8.542034
98.400000;  421.674737;  0.025403;  491.027720;  0.037994;  -348.642092;  0.192727;  -284.101531;  1.367995;  245.864734;  1.888276;  525.823569;  8.636806
99.000000;  423.746880;  0.025660;  493.440579;  0.038349;  -350.304680;  0.194559;  -285.353981;  1.381236;  247.243504;  1.906036;  528.772303;  8.718039
99.600000;  425.807572;  0.025940;  495.850705;  0.038795;  -351.957643;  0.197029;  -286.608872;  1.398966;  248.616126;  1.930450;  531.707887;  8.829706
100.200000;  427.861483;  0.026191;  498.252603;  0.039203;  -353.607822;  0.198996;  -287.866862;  1.413617;  249.975291;  1.950803;  534.614693;  8.922799
100.800000;  429.906057;  0.026459;  500.640909;  0.039629;  -355.239242;  0.201356;  -289.084562;  1.431393;  251.366176;  1.974638;  537.589338;  9.031815
101.400000;  431.957483;  0.026732;  503.037217;  0.040033;  -356.889304;  0.203364;  -290.343672;  1.445797;  252.717367;  1.994318;  540.479090;  9.121830
102.000000;  434.006216;  0.027025;  505.422087;  0.040433;  -358.499952;  0.205394;  -291.487299;  1.460793;  254.192183;  2.014516;  543.633235;  9.214215
